"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"995751","occ","","","120232","Wimania ? sp.","genus","34960","","Wimania","genus","34960","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
"995752","occ","","","120366","Wimania multistriata","species","204783","","Wimania multistriata","species","204783","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
"995753","occ","","","120367","Coelacanthus n. sp. guttatus","species","204785","recombined as","Sassenia guttata","species","204785","Smithian","","249.9","248.1","49434","Chordata","Coelacanthimorpha","Diplocercidiformes","Sassenidae","Sassenia","652"
"995754","occ","","","120366","Axelia robusta","species","204786","","Axelia robusta","species","204786","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Axelia","652"
"995755","occ","","","120367","Axelia robusta","species","204786","","Axelia robusta","species","204786","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Axelia","652"
"995756","occ","","","120366","Axelia n. sp. elegans","species","204787","","Axelia elegans","species","204787","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Axelia","652"
"995757","occ","","","120366","Mylacanthus spinosus","species","204789","","Mylacanthus spinosus","species","204789","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Mylacanthus","652"
"995758","occ","","","120366","Scleracanthus asper","species","204790","","Scleracanthus asper","species","204790","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scleracanthus","652"
"995759","occ","","","120231","Mylacanthus ? sp.","genus","34940","","Mylacanthus","genus","34940","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Mylacanthus","652"
"998181","occ","","","120896","Laugia n. sp. gronlandica","species","205719","obsolete variant of","Laugia groenlandica","species","205719","Griesbachian","","251.902","250.5","38540","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Laugiidae","Laugia","653"
"998182","occ","","","48123","Laugia gronlandica","species","205719","obsolete variant of","Laugia groenlandica","species","205719","Griesbachian","","251.902","250.5","38540","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Laugiidae","Laugia","653"
"998183","occ","","","120896","Laugia indet.","genus","34931","","Laugia","genus","34931","Griesbachian","","251.902","250.5","38540","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","Laugiidae","Laugia","653"
"1002367","occ","","","122018","Coelacanthus n. sp. banffensis","species","149840","","Coelacanthus banffensis","species","149840","Smithian","","249.9","248.1","38825","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Coelacanthus","652"
"1003258","occ","","","122157","Undina barroviensis","species","209407","","Undina barroviensis","species","209407","Planorbis","","201.4","199.5","38891","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Undina","134"
"1003260","occ","","","122158","Undina n. sp. barroviensis","species","209407","","Undina barroviensis","species","209407","Planorbis","","201.4","199.5","38891","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Undina","134"
"1005228","occ","","","122361","n. gen. Graphiurus n. sp. callopterus","species","210731","recombined as","Graphiurichthys callopterus","species","210731","Julian","","237","233.6","38979","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Graphiurichthys","137"
"1011450","occ","","","123522","n. gen. Changxingia n. sp. aspratilis","species","216681","","Changxingia aspratilis","species","216681","Changhsingian","","254.14","251.902","39725","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Changxingia","715"
