"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"85955","occ","","","6223","Rotopericyclus (Hammatocyclus) n. sp. brazerensis","species","297955","recombined as","Hammatocyclus brazerensis","species","297955","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85959","occ","","","6227","Rotopericyclus (Rotopericyclus) n. sp. pinyonensis","species","297953","","Rotopericyclus (Rotopericyclus) pinyonensis","species","297953","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85961","occ","","","6228","Gattendorfia ? sp.","genus","13720","","Gattendorfia","genus","13720","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85962","occ","","","6229","Kazakhstania sp.","genus","13754","","Kazakhstania","genus","13754","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85963","occ","","","6230","Rotopericyclus (Rotopericyclus) n. sp. pinyonensis","species","297953","","Rotopericyclus (Rotopericyclus) pinyonensis","species","297953","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85964","occ","","","6231","Pericyclus (Goniocyclus) n. sp. antelopensis","species","297947","","Pericyclus (Goniocyclus) antelopensis","species","297947","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85966","occ","","","6233","Pericyclus (Goniocyclus) n. sp. decipiens","species","297951","","Pericyclus (Goniocyclus) decipiens","species","297951","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85967","occ","","","6234","Pericyclus (Goniocyclus) decipiens ?","species","297951","","Pericyclus (Goniocyclus) decipiens","species","297951","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85969","occ","","","6235","Pericyclus (Goniocyclus) decipiens ?","species","297951","","Pericyclus (Goniocyclus) decipiens","species","297951","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85970","occ","","","6236","Pericyclus ? sp.","genus","13824","","Pericyclus","genus","13824","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85972","occ","","","6237","Pericyclus (Goniocyclus) antelopensis","species","297947","","Pericyclus (Goniocyclus) antelopensis","species","297947","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85974","occ","","","6238","Imitoceras sp.","genus","13743","","Imitoceras","genus","13743","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85975","occ","","","6238","Pericyclus (Goniocyclus) antelopensis","species","297947","","Pericyclus (Goniocyclus) antelopensis","species","297947","Kinderhookian","Ivorian","358.9","346.7","392","55"
